CSDUID,CSDNAME,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,Province,combined_coordinates
3502048,Russell,Duplex/Triplex,2095.0,3.0,2.0,0,0,1,1250.0,1 Year,20962,Ontario,"45.275646,-75.275411"
3502048,Russell,Apartment,1500.0,1.0,1.0,1,1,1,680.0,1 Year,20962,Ontario,"45.275646,-75.275411"
3502048,Russell,Apartment,1650.0,2.0,1.0,0,0,1,1050.0,1 Year,20962,Ontario,"45.275646,-75.275411"
3502048,Russell,Apartment,1895.0,3.0,1.0,0,0,1,1250.0,1 Year,20962,Ontario,"45.2730797,-75.2812118"
3502048,Russell,Condo,1850.0,2.0,1.0,0,0,1,1050.0,1 Year,20962,Ontario,"45.2729114,-75.3003126"
3502048,Russell,Apartment,1550.0,1.5,1.0,0,0,0,770.0,1 Year,20962,Ontario,"45.2712947,-75.2827918"
3502048,Russell,House,2850.0,3.0,2.5,0,0,0,1863.0,1 Year,20962,Ontario,"45.2687796,-75.3584164"
3502048,Russell,House,2750.0,3.5,2.5,0,0,0,1885.0,1 Year,20962,Ontario,"45.2678775,-75.3599953"
3502048,Russell,House,2900.0,4.0,2.5,0,0,0,2100.0,1 Year,20962,Ontario,"45.2678158,-75.3599557"
3502048,Russell,Basement,1650.0,1.5,1.0,0,0,1,1000.0,1 Year,20962,Ontario,"45.2617208,-75.3641611"
3502048,Russell,Duplex/Triplex,1875.0,2.0,1.0,0,0,1,1175.0,1 Year,20962,Ontario,"45.2594569,-75.2525835"
